BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SUFFRAGETTE CITY | 1 1/2 ounces light rum + 1/2 ounce lime juice + 1/2 ounce Grand Marnier + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SURREY SLIDER | 1 1/2 ounces añejo rum + 4 ounces orange juice + 1/2 ounce peach schnapps + 1 orange slice | Pour the rum, peach schnapps, and orange juice into a highball glass almost filled with ice cubes. Stir well and garnish with the orange slice. | Highball Glass
SUSAN LITTLER | 1 ounce dark rum + 1 teaspoon Galliano + 1/2 ounce bourbon + 2 ounces orange juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
THREE-MILER COCKTAIL | 1 ounce light rum + 2 teaspoons lemon juice + 1 ounce brandy + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TRIAD | 1/2 ounce añejo rum + 4 ounces ginger ale + 1/2 ounce sweet vermouth + 1 lemon twist + 1/2 ounce amaretto | Pour the rum, vermouth, amaretto, and ginger ale into a highball glass almost filled with ice cubes. Stir well and garnish with the lemon twist. | Highball Glass
TROUBLE FOR TINA | 1 1/2 ounces añejo rum + 1/2 ounce dark crème de cacao + 1/2 ounce white crème de cacao + 2 ounces brewed coffee, cooled to room temperature + 1 ounce heavy cream + 1/4 teaspoon ground cinnamon | In a shaker half-filled with ice cubes, combine the rum, dark crème de cacao, white crème de cacao, coffee, and cream. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Dust with the cinnamon. | Old-Fashioned Glass
VETERAN | 2 ounces dark rum + 1/2 ounce cherry brandy | Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
VICIOUS SID | 1 1/2 ounces light rum + 1/2 ounce Southern Comfort + 1/2 ounce Cointreau or triple sec + 1 ounce lemon juice + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
WAKING TO THE CALL OF THE MOCKINGBIRD | 1 1/2 ounces light rum + 1/2 ounce sweet vermouth + 1/2 ounce tawny port + 1 ounce lemon juice + 1 teaspoon superfine sugar + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
AFFINITY | 1 1/2 ounces Scotch + 1 ounce dry vermouth + 1 ounce sweet vermouth + 2 dashes orange bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BALMORAL | 1 1/2 ounces Scotch + 1/2 ounce sweet vermouth + 1/2 ounce dry vermouth + 2 dashes bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BLACK JACK | 1 1/2 ounces Scotch + 1/2 ounce lemon juice + 1 ounce Kahlúa + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BLIMEY | 2 ounces Scotch + 1/2 teaspoon superfine sugar + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BLINDER | 2 ounces Scotch + 1 teaspoon grenadine + 5 ounces grapefruit juice | Pour the Scotch and grapefruit juice into a highball glass almost filled with ice cubes. Drop the grenadine into the center of the drink. | Highball Glass
BRAINSTORM | 2 ounces Scotch + 1 teaspoon sweet vermouth + 1/2 ounce Bénédictine | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CALEIGH | 1 1/2 ounces Scotch + 1/2 ounce white crème de cacao + 1/2 ounce blue Curaçao | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CELTIC MIX COCKTAIL | 1 1/2 ounces Scotch + 1/2 ounce lemon juice + 1 ounce Irish whiskey + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CHOKER | 2 ounces Scotch + 2 dashes bitters + 2 teaspoons Pernod | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DICKIE WARD | 2 ounces Scotch + 4 ounces ginger ale + 1 dash bitters + 1 lime wedge | Pour the Scotch, bitters, and ginger ale into a highball glass almost filled with ice cubes. Stir well and garnish with the lime wedge. | Highball Glass
DRY ROB ROY | 2 1/2 ounces Scotch + 1 lemon twist + 1 1/2 teaspoons dry vermouth | In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
FANCY SCOTCH | 2 ounces Scotch + 2 dashes bitters + 1/2 teaspoon Cointreau or triple sec + 1 lemon twist + 1/4 teaspoon superfine sugar | In a shaker half-filled with ice cubes combine the Scotch, Cointreau, sugar, and bitters. Shake well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
GODFATHER | 1 1/2 ounces Scotch + 1/2 ounce amaretto | Pour both of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
GRAND MASTER | 2 ounces Scotch + 3 ounces club soda + 1/2 ounce peppermint schnapps + 1 lemon twist | Pour the Scotch, schnapps, and soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Highball Glass
HIGHLAND FLING | 2 ounces Scotch + 2 dashes orange bitters + 1/2 ounce sweet vermouth + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the Scotch, vermouth, and orange bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
HIGHLAND SLING | 1 teaspoon superfine sugar + 1 ounce lemon juice + 2 ounces Scotch + 2 teaspoons water + 1 lemon twist | In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and Scotch. Shake well. Strain into a highball glass. Garnish with the lemon twist. | Highball Glass
HOOTS MON | 1 1/2 ounces Scotch + 1/2 ounce sweet vermouth + 1/2 ounce Lillet | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
ITALIAN HEATHER | 1 1/2 ounces Scotch + Crushed ice + 1 ounce Galliano + 1 lime wedge | Pour the Scotch and Galliano into an old-fashioned glass almost filled with crushed ice. Stir well. Garnish with the lime wedge. | Old-Fashioned Glass
JAMES THE SECOND COMES FIRST | 2 ounces Scotch + 1/2 ounce dry vermouth + 1/2 ounce tawny port + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
JOCK COLLINS | 2 ounces Scotch + 3 ounces club soda + 1 ounce lemon juice + 1 maraschino cherry + 1 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the Scotch, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice. | Collins Glass
JOCK-IN-A-BOX | 1 1/2 ounces Scotch + 1/2 ounce lemon juice + 1/2 ounce sweet vermouth + 1 egg | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass half-filled with ice cubes. | Old-Fashioned Glass
L’AIRD OF SUMMER ISLE | 1 1/2 ounces Scotch + 3 ounces pineapple juice + 1/2 ounce Pernod | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
LOCH LOMOND | 2 ounces Scotch + 1/2 ounce dry vermouth + 1/2 ounce Drambuie + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
MA BONNIE WEE HEN | 1 1/2 ounces Scotch + 1/2 ounce lemon juice + 1/2 ounce cream sherry + 1 teaspoon grenadine + 1/2 ounce orange juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MACBETH’S DREAM | 2 ounces Scotch + 1 teaspoon white Curaçao + 1 teaspoon amaretto + 2 dashes orange bitters + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MAN OF THE MOMENT | 1 1/2 ounces Scotch + 1 ounce lemon juice + 1 ounce Grand Marnier + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MA WEE HEN | 1 1/2 ounces Scotch + 1/2 ounce lemon juice + 1/2 ounce dry sherry + 1 teaspoon grenadine + 1/2 ounce orange juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
McDUFF | 1 1/2 ounces Scotch + 2 dashes bitters + 1/2 ounce Cointreau or triple sec + 1 orange slice | In a mixing glass half-filled with ice cubes, combine the Scotch, Cointreau, and bitters. Stir well. Strain into a cocktail glass. Garnish with the orange slice. | Cocktail Glass
MIAMI BEACH COCKTAIL | 1 ounce Scotch + 1 ounce grapefruit juice + 1 ounce dry vermouth | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MITHERING BASTARD | 1 1/2 ounces Scotch + 1 ounce orange juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
MODERN COCKTAIL | 1 1/2 ounces Scotch + 1/2 teaspoon lemon juice + 1 teaspoon dark rum + 2 dashes orange bitters + 1/2 teaspoon Pernod | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PERFECT ROB ROY | 2 1/2 ounces Scotch + 1 teaspoon dry vermouth + 1 teaspoon sweet vermouth + 1 maraschino cherry or 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the Scotch, sweet vermouth, and dry vermouth. Stir well. Strain into a cocktail glass. Garnish with the cherry or the lemon twist. | Cocktail Glass
PIPER AT THE GATES OF DAWN | 1 1/2 ounces Scotch + 1 ounce heavy cream + 1 ounce Kahlúa + 1/2 ounce maraschino liqueur | In a mixing glass half-filled with ice cubes, combine the Scotch, Kahlúa, and maraschino liqueur. Stir well. Strain into an old-fashioned glass almost filled with ice cubes. Pour the cream slowly and carefully over the back of a teaspoon so that it floats on top of the drink. | Old-Fashioned Glass
PIPER AT ARMS | 1 1/2 ounces Scotch + 1 lemon twist + 1 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
ROB ROY | 2 1/2 ounces Scotch + 1 maraschino cherry + 1 1/2 teaspoons sweet vermouth | In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
RUSTY NAIL | 1 1/2 ounces Scotch + 1 lemon twist + 1/2 ounce Drambuie | Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Old-Fashioned Glass
SCOTCH AND WATER | 2 ounces Scotch + 5 ounces water | Pour the Scotch and the water into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SCOTCH COBBLER | 1 teaspoon superfine sugar + 2 ounces Scotch + 3 ounces club soda + Crushed ice + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the Scotch. Stir well. Garnish with the cherry and the orange and lemon slices. | Old-Fashioned Glass
SCOTCH COOLER | 2 ounces blended Scotch + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the Scotch and soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon wedge. | Highball Glass
SCOTCH DAISY | 2 ounces Scotch + 1/2 teaspoon grenadine + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the Scotch, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass. Garnish with the cherry and the orange slice. | Old-Fashioned Glass
SCOTCH FIX | 1 teaspoon superfine sugar + Crushed ice + 2 ounces Scotch + 1 ounce lemon juice + 1 maraschino cherry + 2 teaspoons water + 1 lemon slice | In a shaker half-filled with ice cubes, combine the sugar, lemon juice, and water. Shake well. Strain into a highball glass almost filled with crushed ice. Add the Scotch. Stir well and garnish with the cherry and the lemon slice. | Highball Glass
SCOTCH FLIP | 2 ounces Scotch + 1 egg + 1 teaspoon superfine sugar + 1/2 ounce light cream + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the Scotch, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
SCOTCH MIST | 2 1/2 ounces Scotch + 1 lemon twist + Crushed ice | Pour the Scotch into a shaker half-filled with crushed ice. Shake well. Pour, unstrained, into an old-fashioned glass. Garnish with the lemon twist. | Old-Fashioned Glass
SCOTCH OLD-FASHIONED | 3 dashes bitters + 3 ounces Scotch + 1 teaspoon water + 1 orange slice + 1 cube + 1 maraschino cherry | In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the Scotch. Garnish with the orange slice and the cherry. Serve with a swizzle stick. | Old-Fashioned Glass
SCOTCH SANGAREE | 1 teaspoon superfine sugar + 1/2 ounce tawny port + 1 lemon twist + 2 teaspoons water + 1 1/2 ounces Scotch + Crushed ice + 2 1/2 ounces club soda + 1/8 teaspoon grated nutmeg + 1/8 teaspoon ground cinnamon | In a highball glass, dissolve the sugar in the water and Scotch. Almost fill the glass with crushed ice and add the club soda. Float the port on top. Garnish with the lemon twist and a dusting of nutmeg and cinnamon. | Highball Glass
SCOTCH SOUR | 2 ounces Scotch + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the Scotch, lemon juice, and sugar. Shake well. Strain into a sour glass. Garnish with the orange slice and the cherry. | Sour Glass
SWIRLING TO THE BEAT OF THE HAGGIS WINGS | 1 1/2 ounces Scotch + 1 ounce lemon juice + 1/2 ounce Cointreau or triple sec + 1 teaspoon grenadine + 1 teaspoon egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TARTAN SWIZZLE | 1 1/2 ounces lime juice + 1 dash bitters + 1 teaspoon superfine sugar + Crushed ice + 3 ounces club soda + 2 ounces Scotch | In a shaker half-filled with ice cubes, combine the lime juice, sugar, Scotch, and bitters. Shake well. Almost fill a collins glass with crushed ice. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda. Serve with a swizzle stick. | Collins Glass
